,kanji,hiragana/katakana,persian,english
2515,新聞,しんぶん,روزنامه,
2516,新聞記者,しんぶんきしゃ,روزنامه نگار,
2517,新聞紙,しんぶんし,کاغذ زوزنامه,
2518,森,もり,جنگل,
2519,深い,ふかい,عمیق,
2520,深く眠い,ふかくねむい,خواب عمیق,
2521,深刻,しんこく,جدی,
2522,深刻に考える,しんこくにかんがえる,جدی فکر کن,
2523,深夜,しんや,دیروقت,
2524,申し込む,もうしこむ,درخواست,
2525,申し出,もうしで,پیشنهاد,
2526,申し上げます,もうしあげます,من می خواهم تشکر خود را اعلام کنم,
2527,申し訳ありませんでした,もうしわけありませんでした,متاسفم,
2528,申し訳ございません,もうしわけございません,متاسفم,
2529,申告,しんこく,اظهارنامه,
2530,申告書,しんこくしょう,فرم اظهارنامه,
2531,申請する,しんせいする,درخواست دادن,
2532,申請する。,しんせいする。,درخواست دادن.,
2533,申請中,しんせいちゅう,درخواست,
2534,真っ暗な,まっくらな,سیاه خالص,
2535,真っ青な顔,まっさおなかお,چهره رنگ پریده,
2536,真っ赤な嘘,まっかなうそ,دروغ تابلو,
2537,真っ直ぐ,まっすぐ,مستقیم,
2538,真っ白な,まっしろな,سفید خالص,
2539,真ん中,まんなか,وسط,
2540,真剣な,しんけんな,جدی,
2541,真鯉,まごい,کپور واقعی,
2542,真実,しんじつ,حقیقت,
2543,真面目,まじめ,جدی,
2544,神,かみ,خدا,
2545,神経質,しんけいしつ,عصبی,
2546,神経質な,しんけいしつな,عصبی,
2547,神名前で,じんなまえで,به نام خدا,
2548,芯温計,しんおんけいで,دماسنج هسته ای,
2549,親,おや,والدین,
2550,親しい,したしい,صمیمی / نزدیک\,
2551,親交を深める,しんこうをふかめる,تعمیق دوستی,
2552,親切な,しんせつな,مهربان,Kindness
2553,診察する,しんさつする,معاینه کردن,
2554,診察室,しんさつしつ,اتاق امتحان,
2555,身,み,خود,
2556,身ごもる,みごもる,باردار شدن,
2557,身につける,みにつける,روی بدن نگه دار,
2558,身近な,みじかな,آشنا,"close at hand , familiar"
2559,身体,しんたい,جسم /بدن,
2560,身分,みぶん,وضعیت شخصی,
2561,身分証明書,みぶんしょうめいしょ,شناسایی,
2562,辛い,からい,تند,
2563,辛い時期,つらいじき,دوران سخت,
2564,進む,すすむ,پیشروی کردن,
2565,進化する,しんか,سیر تکاملی,
2566,進学,しんがく,تحصیلات عالی,
2567,進学ローン,しんがくローン,وام دانشجویی,
2568,進学塾,しんがくじゅく,کلاس تقویتی,
2569,進級,しんきゅう,ارتقاء ,
2570,進捗,しんちょく,پیش رفتن,
2571,進歩,しんぽ,پیشرفت,progress
2572,進路,しんろ,مسیری که طی می کنیم,
2573,針,はり,سوزن,
2574,針と糸,はりといと,سوزن و نخ,
2575,針金,はりがね,سیم,
2576,震える,ふるえる,لرزیدن,
2577,人懐っこい,ひとなつっこい,دوستانه,
2578,人間,にんげん,انسان,
2579,人間関係,にんげんかんけい,روابط بین افراد,interpersonal relations
2580,人気,にんき,شهرت,
2581,人形,にんぎょう,عروسک,
2582,人権声明,じんけんせいめい,منشور حقوق بشر,
2583,人見知りする,ひとみしりする,خجالتی باشد,
2584,人口,じんこう,جمعیت,
2585,人差し指,ひとさしゆび,انگشت اشاره,
2586,人材,じんざい,منابع انسانی,
2587,人材派遣,じんざいはけん,اعزام نیروی انسانی,staffing or temporary staffing
2588,人事部,じんじぶ,اداره منابع انسانی,
2589,人身事故,じんしんじこ,صدمه شخصی,
2590,人数,にんずう,تعداد افراد,
2591,人生,じんせい,شیوه زندگی,
2592,人的脅威,じんてききょうい,تهدید انسانی,
2593,人文知識,じんぶんちしき,علوم انسانی,
2594,人並にできます,ひとなみにできます,"من می توانم این کار را 
مانند یک فرد معمولی انجام دهم",
2595,人目を気にする,ひとめをきにする,به توجه مردم اهمیت دهید,
2596,塵,ちり,گردوخاک,
2597,尋ねる,たずねる,سوال پرسیدن,
2598,尽くす,つくす,همه چیز را انجام دهد,
2599,迅速,じんそく,سریع,quick
2600,迅速な対応,じんそくなたいおう, پاسخ سریع,
2601,図形,ずけい,اشکال,
2602,図書館,としょかん,موزه,
2603,図々しい,ずうずうしい,بی حیا,
2604,吹き流し,ふきながし,جوراب بادی,
2605,吹く,ふく,فوت کردن,blow
2606,推しの,おしの,مورد علاقه من,
2607,推奨,すいしょう,توصیه شده,
2608,推薦,すいせん,توصیه کردن چیزی,
2609,推測する,すいそくする,حدس زدن,guess
2610,推定値,すいていち,تخمین زدن,
2611,推理する,すいりする,نتیجه گیری,
2612,推量する,すいりょうする,حدس بزن,
2613,推論,すいろん,استنتاج  / دلیل,reasoning
2614,水,みず,آب,
2615,水泳,すいえい,شنا كردن,
2616,水気を切る,みずけをきる,"گرفتن آب چیزی
با صافی",
2617,水玉,みずたま,طرح خال خالی,
2618,水田,すいでん,مزرعه شالیکاری,
2619,水筒,すいとう,بطری آب,water bottle
2620,水道代,すいどうだい,قبض آب,
2621,水分,すいぶん,مرطوب,
2622,水溶,すいよう,محلول در آب,
2623,炊飯器,すいはんき,پلوپز,
2624,睡眠不足,すいみんふそく,کمبود خواب,
2625,酔う,よう,مست و پاتیل,
2626,酔っ払って,よっぱらって,مست شدن,
2627,数,かず,رقم/عدد/تعداد,
2628,数える,かぞえる,شمردن,
2629,数学,すうがく,ریاضی,
2630,数学基礎,すうがくきそ,مبانی ریاضی,
2631,数学嫌い,すうがくぎらい,تنفر از ریاضی,
2632,数学物理学科,すうがくぶつりがっか,رشته ریاضی فیزیک,
2633,数字,すうじ,شماره,
2634,数値,すうち,مقدار عددی,
2635,数日,すうじつ,چندین روز,
2636,数理,すうり,ریاضیات,
2637,数量,すうりょう,تعداد,
2638,数量は,すうりょうは,مقدار است,
2639,雛人形,ひなにんぎょう,عروسک های حنا,
2640,雀,すずめ,گنجشک,
2641,雀の涙ほど,すずめのなみだほど,اندازه اشک گنجشک (ناچیز بودن),
2642,雀斑,そばかす,کک و مک,
2643,裾,すそ,کمر به پایین,
2644,世の中,よのなか,در جهان,
2645,世界,せかい,جهان,world
2646,世界に誇れる,せかいにほこれる,سطح جهانی,
2647,世界に誇れるコンテンツ,せかいにほこれるこんてんつ,محتوای در سطح جهانی,
2648,世界遺産,せかいいさん,میراث جهانی,
2649,世界文化遺産,せかいぶんかいさん,میراث فرهنگی جهانی,world heritage site
2650,世間知らず,せけんしらず,ساده لوح,ignorant of the outside world
2651,世帯,せたい,خانوار,
2652,世代,せだい,نسل,
2653,世代管理,せだいかんり,مدیریت پروژه,
2654,世話す,せわす,رسیدگی کردن,
2655,是非,ぜひ,حتماً,
2656,是非とも,ぜひとも,با تمام وجود,
2657,制限,せいげん,محدودیت,
2658,制限する,せいげんする,محدود کردن,
2659,制御,せいぎょ,کنترل,control
2660,制御機能,せいぎょきのう,تابع کنترل,
2661,制御装置,せいぎょそうち,دستگاه کنترل,
2662,制御理論,せいぎょりろん,نظریه کنترل,
2663,制裁する,せいさい,تحریم کردن ,
2664,制作,せいさく,"خلق ، ایجاد",
2665,制作する,せいさくする,تولید کردن,
2666,制度,せいど,سیستم,
2667,勢い,いきおい,"شتاب ، زور ، شدت",
2668,性格,せいかく,شخصیت,
2669,性交,せいこう,رابطه جنسی,
2670,性質,せいしつ,طبیعت,
2671,性質上,せいしつじょう,طبیعتا,
2672,性的,せいてき,جنسی,
2673,性能,せいのう,کارایی,
2674,性別,せいべつ,جنسیت,
2675,成り立ち,なりたち,تشکیل شدن / امکان پذیر بودن,to consist of
2676,成果,せいか,نتایج,
2677,成果物一覧,せいかものいちいらん,لیست محصولات قابل تحویل,
2678,成人式,せいじんしき,مراسم بزرگ شدن,
2679,成績,せいせき,"نتیجه ، کارنامه","performance,grades"
2680,成績証明書,"せいせき
しょうめいしょ",مدرک نمرات,
2681,成長,せいちょう,رشد کردن,
2682,成長率,せいちょうりつ,نرخ رشد,
2683,成分,せいぶん,جزء,
2684,政策,せいさく,سیاست,
2685,政治,せいじ,سیاست,politics
2686,政治家,せいじか,سیاستمدار,
2687,政府,せいふ,دولت,
2688,整い,ととのい,آراسته کردن,
2689,整える,ととのえる,مرتب کردن,
2690,整数,せいすう,اعداد صحیح,
2691,整数部,せいすうぶ,قسمت عدد صحیح,int
2692,整備する,せいび,سرویس و نگهداری,"to equip,put in order"
2693,星,ほし,ستاره,
2694,星空,ほしぞら,آسمان پرستاره,starry sky
2695,星占い,ほしうらない,طالع بینی,
2696,晴れる,はれる,آفتابی,
2697,正しい,ただしい,درست,
2698,正の数,せいのかず,عدد مثبت,
2699,正確な,せいかくな,دقیق,
2700,正社員,せいしゃいん,کارمند تمام وقت,
2701,正常に,せいじょうに,به طور معمول,
2702,正数,せいすう,اعداد مثبت,
2703,正方形,せいほうけい,مربع شکل,
2704,正方行列,せいほうぎょうれつ,ماتریس مربع,
2705,清い目をしている,きよいめをしている,چشمان پاکی داشته باشد,
2706,清書,せいしょ,کپی منصفانه,
2707,清掃費,せいそうひ,هزینه تمیز کردن,
2708,生,なま,خام / زنده,
2709,生かして働きたいです,いかしてはたらきたいです,من می خواهم از آن نهایت استفاده را ببرم و کار کنم,
2710,生きてる。,いきてる。,زنده.,
2711,生きる,いきる,زندگی کردن,
2712,生き甲斐,いきがい,هدف از زندگی,
2713,生け花,いけばな,گل آرایی,
2714,生ゴミ,なまごみ,زباله,
2715,生じる,しょうじる,رخ دادن / پیش آمدن / اتفاق افتادن,
2716,生み出す,うみだす,تولید کردن,
2717,生意気な,なまいき,پر رو / گستاخ,
2718,生活,せいかつ,زندگی,
2719,生活に合わせる,せいかつにあわせる,مطابق زندگی,
2720,生活水準,せいかつすいじゅん,استاندارد زندگی,
2721,生産,せいさん,تولید ,
2722,生産量,せいさんりょう,مقدار تولید,
2723,生成,せいせい,تولید/ساختن,
2724,生成AI,せいせいAI,نسل هوش مصنوعی,
2725,生徒,せいと,دانشجو,
2726,生配信,なまはいしん,پخش زنده اینترنتی,
2727,生物,せいぶつ,موجود زنده,
2728,生放送,なまほうそう,پخش زنده تلویزیون,
2729,盛り上がる,もりあがる,هیجان زده شدن,
2730,盛り付け,もりつけ,ترتیب دادن,
2731,盛る,もる,چیدن,
2732,盛んな,さかんな,پررونق,
2733,精算,せいさん,"پرداخت صورت
حساب",
2734,精神的,せいしんてき,روحی / روانی ,
2735,精神的な,せいしんてきな,روانی / معنوی,
2736,精神的な病気,せいしんてきなびょうき,بیماری روانی,
2737,精々,せいぜい,در بهترین حالت,
2738,聖典,せいてん,کتاب آسمانی,
2739,声,こえ,صدا,
2740,声を上げる,こえをあげり,جیغ زدن,
2741,製造,せいぞう,تولید,manufacturing
2742,製品,せいひん,محصول,
2743,西暦,せいれき,تقویم میلادی,
2744,西澤,にしざわ,نیشیزاوا,
2745,誠に,まことに,خالصانه,
2746,誠に有難うございます,まことにありがとうございます,بسیار از شما متشکرم,
2747,誓う,ちかう,سوگند / قسم,
2748,誓約する,せいやくする,سوگند - تعهد,
2749,請求する,せいきゅうする,مطالبه,
2750,請求する。,せいきゅうする。,مطالبه.,
2751,請求金額,せいきゅうきんがく,مبلغ صورتحساب,
2752,請求書,せいきゅうしょ,صورتحساب,
2753,青梗菜,ちんげんさい,کلم چینی,
2754,静か,しずか,ساکت خلوت,
2755,静かな,しずかな,"ساکت ، خلوت",
2756,静音,せいおん,بی صدا,
2757,静止,せいし,ساکن ماندن,
2758,静止した,せいしした,ثابت,stationary
2759,静電気,せいでんき,الکتریسیته ساکن,
2760,静脈,じょうみゃく,رگ,
2761,税金,ぜいきん,مالیات,
2762,税込み,ぜいこみ,با احتساب مالیات,
2763,税抜,ぜい抜,بدون مالیات,
2764,席,せき,صندلی,
2765,惜しむ,おしむ,من افسوس آن را میخورم,
2766,昔,むかし,خیلی وقت پیش,
2767,石づき,いしづき,قسمت ریشه,
2768,石油,せきゆ,نفت,
2769,石油化学プラント,せきゆかがくプラント,مجتمع پتروشیمی,
2770,積み木,つみき,بلوک ساختمان,
2771,積む,つむ,انباشته کردن,
2772,積もる,つもる,انباشته شدن,
2773,積極,せっきょく,فعال,
2774,積極的,せっきょくてき,فعالانه,
2775,積極的に,せっきょくてきに,به طور فعال,
2776,積分,せきぶん,انتگرال,
2777,責める,せめる,سرزنش کردن,
2778,責任,せきにん,مسئولیت,responsibility
2779,責任が重い,せきにんがおもい,مسئولیت سنگین,
2780,責任者,せきにんしゃ,مسئول,
2781,責務,せきむ,مسئوليت,
2782,赤い信号,あかいしんごう,چراغ قرمز,
2783,赤字,あかじ,نوشته با رنگ قرمز,
2784,跡,あと,"رد ، مدرک باقی مانده","track,trace"
2785,切らす,きらす,تموم شدن مواد غذایی,
2786,切り替える。,きりかえる。,تعویض.,
2787,切り落とす,きりおとす,جدا کردن,
2788,切る,きる,بریدن,
2789,切れ具合,きれぐあい,شرایط برش,
2790,切符,きっぷ,بلیط,
2791,接する,せっする,"تعامل داشتن / 
مجاورت داشتن",
2792,接近,せっきん,نزدیک شدن,
2793,接辞,せつじ,"پسوند ، پیشوند",affix
2794,接続,せつぞく,ارتباط,
2795,接続詞,せつぞくし,پیوستگی,
2796,接着する,せっちゃくする,چسب زدن,
2797,接着剤,せっちゃくざい,چسب,glue
2798,摂氏,せっし,درجه سانتیگراد,celsius
2799,折る,おる,تا کردن / شکستن,
2800,折角な,せっかくな,فرصت عالی,
2801,設ける,もうける,تأسیس,
2802,設計,せっけい,طراحی,
2803,設計する,せっけいする,طرح,
2804,設置,せっち,نصب و راه اندازی,
2805,設定,せってい,تنظیم کردن,
2806,設備,せつび,امکانات,
2807,設備費,せつびひ,هزینه امکانات,
2808,設立する,せつりつ,تاسیس کردن,
2809,窃盗,せっとう,سرقت,
2810,節電,せつでん,صرفه جویی در قدرت,
2811,節約する,せつやくする,صرفه جویی,
2812,説得,せっとく,متقاعد کردن,convince
2813,説得する,せっとくする,متقاعد کردن,
2814,説明,せつめい,توضیح دادن,explanation
2815,説明会,せつめいかい,جلسه توجیهی,
2816,説明書,せつめいしょ,دستورالعمل ها,
2817,雪,ゆき,برف,
2818,雪だるま,ゆきだるま,آدم برفی,snowman
2819,雪投げ,ゆきなげ,برف انداختن,
2820,絶える,たえる,منقرض شدن,
2821,絶つ,たつ,پایان دادن,
2822,絶対,ぜったい,مطلقاً,
2823,絶対パス指定,ぜったいパスしてい,تعیین مسیر مطلق,absolute path specification.
2824,絶対参照,ぜったいさんしょう,مرجع مطلق,
2825,絶滅,ぜつめつ,انقراض,
2826,先,さき,پیش از,
2827,先が丸い,さきがまるい,سر گرد,
2828,先が尖る,さきがとがる,سرتیز,
2829,先々週,せんせんしゅう,هفته قبل از قبلی,
2830,先着順です,せんちゃくじゅんです,اول از همه,
2831,先頭の,せんとうの,اولین,
2832,先日,せんじつ,چند روز قبل,
2833,先輩,せんぱい,ارشد,
2834,占める,しめる,را اشغال کند,
2835,宣言する,せんげん,اعلام کردن,
2836,宣誓する,せんせいする,سوگند یاد کن,
2837,宣伝する,せんでん,تبلیغ کردن,
2838,専攻,せんこう,رشته,
2839,専修学校,"せんしゅう
がっこう",هنرستان فنی و حرفه ای,
2840,"専属の
学習
メンター","せんぞく
のがくしゅう
メンター",مربی اختصاصی,
2841,専任,せんにん,اختصاصی,
2842,専任講師,せんにんこうし,معلم تخصصی,
2843,専門,せんもん,مهارت,
2844,専門家,せんもんか,کارشناس,
2845,専門学校,せんもんがっこう,هنرستان فنی حرفه ای,
2846,尖る,とがる,تیز,
2847,川,かわ,رودخانه,
2848,戦う,たたかう,مبارزه کردن,
2849,戦闘する,せんとうする,جنگیدن,
2850,戦略的,せんりゃくてき,راهبردی,
2851,扇子,せんす,پنکه,
2852,扇風機,せんぷうき,پنکه,
2853,泉,いずみ,چشمه,
2854,浅草寺,せんそうじ,معبد سنسوجی,
2855,洗う,あらう,شستن,
2856,洗たく用洗剤,せんたくようせんざい,پودر لباس شویی,
2857,洗剤,せんざい,مواد شوینده,
2858,洗浄する,せんじょうする,شستشو,
2859,洗濯,せんたく,شستن,
2860,洗濯機置き場,せんたくきおきば,محل ماشین لباسشویی,
2861,洗濯物,せんたくもの,لباس های شستنی,
2862,洗面所,せんめんじょ,دستشور,
2863,洗面台,せんめんだい,دستشور,
2864,染まる,そまる,تغییر رنگ,
2865,染めた,そめた,رنگ شده,
2866,線形代数,せんけいだいすう,جبر خطی,
2867,船便,ふなびん,پست دریایی,
2868,選ぶ,えらぶ,انتخاب کردن,
2869,選挙権,せんきょけん,حق رای,
2870,選考料,せんこうりょう,هزینه غربالگری,
2871,選手,せんしゅ,بازیکن,
2872,選択肢がありません,せんたくしがありません,من چاره ای ندارم,
2873,選定,せんてい,انتخاب,
2874,銭湯,せんとう,حمام عمومی,
2875,鮮やかな,あざやかな,"روشن ، زنده",bright
2876,前回,ぜんかい,دفعه قبل,
2877,前書き,まえがき,پیش گفتار,
2878,前置詞,ぜんちし,حرف اضافه قبل اسم,preposition
2879,前日,ぜんじつ,روز قبل,
2880,前髪,まえがみ,چتری,
2881,前髪を下ろす,まえがみをおろす,جلو مو روی پیشانی,
2882,前髪を分ける。,まえがみをわける,جلو مو رو باز کن,
2883,前方,ぜんぽう,رو به جلو,
2884,善場,としば,محل مناسب برای کار,
2885,全く,まったく,کاملاً,
2886,全て,すべて,همه,
2887,全て揃ってます。,すべてそろってます。,همه چیز آماده است.,
2888,全員,ぜんいん,هرکس,
2889,全額,ぜんがく,مقدار کامل,
2890,全自動,ぜんじどう,تمام اتوماتیک,
2891,全社会,ぜんしゃかい,کل جامعه,
2892,全身,ぜんしん,تمام بدن,
2893,全世界,ぜんせかい,کل جهان,
2894,全体,ぜんたい,در طول کل ...,
2895,全能,ぜんのう,قادر مطلق,
2896,全部,ぜんぶ,همه اش,
2897,疎遠,そえん,دوری / بیگانگی,alienation/estrangement
2898,素早く,すばやく,به سرعت,
2899,〜組,〜くみ,〜جفت,
2900,組み立て,くみたて,مونتاژ روی هم,
2901,組む,くむ,جمع بندی,
2902,組織,そしき,سازمان,
2903,組織する,そしきする,سازمان دادن,
2904,鼠,ねずみ,موش,
2905,創作物,そうさくもの,ایجاد,
2906,創造者,そうぞうしゃ,ایجاد کننده,
2907,創立記念日,そうりつきねんび,سالگرد تأسیس,
2908,双子の姉妹,ふたごのしまい,خواهران دوقلو,
2909,双方,そうほう,هر دو,
2910,層,そう,لایه,layer
2911,想像,そうぞう,"خیال پردازی 
تصور کردن",
2912,想像する,そうぞうする,تصور کردن,
2913,想定する,そうてい,فرض کردن,
2914,捜す,さがす,گشتن (چیزی که گمشده),
2915,掃く,はく,جارو کردن,to sweep
2916,掃除機,そうじき,جاروبرقی,
2917,操作,そうさ,عمل,
2918,操作する,そうさする,دستکاری کنید,
2919,早い,はやい,سریع(جریان آب),
2920,早く,はやく,سریع,
2921,早速,さっそく,بلافاصله,
2922,早退,そうたい,زودتر رفتن,
2923,巣,す,لانه,
2924,巣立つ,すだつ,"بچه برای خودش
تنها زندگی کردن",
2925,痩せる,やせる,لاغر کردن,
2926,相応しい,ふさわしい,لیاقت / شایستگی,
2927,相関関係,そうかんかんすう,همبستگی,
2928,相関係数,そうかんけいすう,ضریب همبستگی,
2929,相互,そうご,متقابل,
2930,相互接続,そうごせつぞく,اتصال متقابل,
2931,相次ぐ,あいつぐ,"متوالی ، پی در پی",follow in succession
2932,相手,あいて,طرف مقابل,partner
2933,相性,あいしょう,سازگاری,
2934,相対パス指定,そうたいパスしてい,تعیین مسیر نسبی,Relative Path Specification
2935,相談,そうだん,مشورت,
2936,相談相手,そうだんあいて,مشاور,
2937,相槌,あいづち,توافق با اشاره سر,
2938,相変わらず,あいかわらず,مثل همیشه,
2939,相撲,すもう,کشتی ژاپنی,
2940,窓,まど,پنجره,
2941,総額,そうがく,مبلغ کل,
2942,総計,そうけい,جمع کل,
2943,総合,そうごう,"جامع ، کلی",comprehensive
2944,総合口座,そうごうこうざ,حساب عمومی,
2945,総理大臣,そうりだいじん,نخست وزیر,
2946,草,くさ,چمن,
2947,草臥れた,くたびれた,اونقدر خسته ام دیگه نمی کشم,
2948,装置,そうち,دستگاه / وسیله,
2949,走る,はしる,دویدن,
2950,送る,おくる,فرستادن,send
2951,送付,そうふ,در حال ارسال,
2952,送別会,そうべつかい,مهمانی خداحافظی,farewell party
2953,送料,そうりょう,هزینه پست,
2954,送料込み,そうりょうこみ,هزینه پست گنجانده شده است,
2955,騒ぐ,さわぐ,سر و صدا کردن,
2956,騒々しい,そうぞうしい,پر سر و صدا,
2957,増える,ふえる,افزایش یافتن,
2958,増やす,ふやす,افزایش دادن,increase
2959,増加,ぞうか,افزایش دادن,to increase
2960,増設しています,ぞうせつしています,ارتقاء دادن,
2961,増大,ぞうだい,زیاد شدن,
2962,増分バックアップ,ぞうぶんバックアップ,پشتیبان گیری افزایشی,
2963,贈り物,おくりもの,هدیه,
2964,造船所,ぞうせんしょ,کارخانه کشتی سازی,
2965,促進する,そくしんする,تسهیل کردن,
2966,側,がわ,~ سمت,
2967,側面から,そくめんから,از کنار,
2968,即購入,そくこうにゅう,الان بخرش,
2969,即時,そくじ,"فوری ، بدون تاخیر",
2970,即戦力,そくせんりょく,آماده برای کار,
2971,即入居可,そくにゅうきょか,آماده نقل مکان,
2972,息,いき,نفس,
2973,息を吸う。,いきをすう。,یک نفسی بگیر.,
2974,息子,むすこ,پسرم,
2975,測り,はかり,وزن کردن,
2976,足,あし,پا,
2977,足が出る,あしがでる,بیش از توانم,go over budget
2978,足が折りました,あしがおりました,پایم را شکستم,
2979,足が棒になる,あしがぼうになる,پاها سفت می شوند,
2980,足す,１０に２をたす,جمع,
2981,足りる,たりる,کافی بودن,
2982,足を引っ張る,あしをひっぱる,پای خود را بکش,
2983,足を運ぶ,あしをはこぶ,شخصا به جایی رفتن,travel to
2984,足を伸ばす,あしをのばす,استراحت کردن,go futher to
2985,足を組む,あしをくむ,پاهاتو رو هم بنداز,
2986,足元,あしもと,"قدم ها ، پاها",footing
2987,足首,あしくび,مچ پا,
2988,足跡,あしあと,رد پا,foot print
2989,速さ,はやさ,سرعت,
2990,速やか,すみやか,بلافاصله,
2991,速やかに,すみやかに,"فوری ، بدون تاخیر",
2992,速達,そくたつ,تحویل سریع,
2993,速達で,そくたつで,توسط اکسپرس,
2994,速達便,そくたつびん,تحویل سریع,
2995,速度,そくど,مقدار سرعت,
2996,属性,ぞくせい,"صفات ، خصوصیات ، ویژگی ها",attribute
2997,続ける,つづける,ادامه دادن,to countinue
2998,続柄,つづきがら,رابطه,
2999,卒業,そつぎょう,فارغ التحصیلی,
3000,卒業生,そつぎょうせい,فرد فارغ التحصیل شده,
3001,卒論,そつろん,پایان نامه ,
3002,袖,そで,آستین,
3003,揃う,そろう,"به ترتیب و مرتب
جمع کردن وسایل",
3004,揃える,そろえる,مرتب کردن,
3005,存在,そんざい,وجود داشتن,
3006,存在を消す,そんざいをけす,از وجود ناپدید می شود,
3007,尊重,そんちょう,احترام گذاشتن,
3008,尊重する,そんちょうする,احترام گذاشتن,respect
3009,損する,そんする,ضرر کردن,
3010,損害,そんがい,خسارت,
3011,損得,そんとく,سود و زیان,
3012,他の言葉,たのことば,به عبارت دیگر,
3013,他県等,たけんとう,سایر استان ها,
3014,他人,たにん,دیگران,
3015,他方,たほう,طرف دیگر,
3016,多い,おおい,زیاد,
3017,多い都市,おおいとし,بسیاری از شهرها,
3018,多国,おおこく,چند ملیتی,
3019,多種多様な,たしゅたような,بسیار گسترده و متنوع,
3020,多数いる,たすう,تعداد زیادی,
3021,多発する,たはつする,مکرر رخ می دهد,
3022,多忙な,たぼうな,مشغول,
3023,太い,ふとい,کلفت,
3024,太る,ふとる,چاق شدن,
3025,太鼓,たいこ,طبل,
3026,太平洋,たいへいよう,اقیانوس آرام,pasific ocean
3027,太陽,たいよう,نور خورشید,
3028,太枠内,ふとしわくない,داخل قاب ضخیم,
3029,打ちます。,うちます。,من آن را می زنم.,
3030,打ち明ける,うちあける,رو راست باش,
3031,打つ,うつ,ضربه,
3032,打鍵数,だけんすう,تعداد ضربه های کلید,
3033,体,からだ,بدن,body
3034,体育の日,たいいくのひ,روز ورزش,
3035,体育館,たいいくかん,سالن ورزش,
3036,体温計,たいおんけい,دماسنج,
3037,体系化,たいけいか,سیستم سازی,
3038,体験する,たいけん,تجربه کردن,
3039,体験入学,たいけんにゅうがく,پذیرش آزمایشی,
3040,体重,たいじゅう,وزن بدن,
3041,体重計,たいじゅうけい,ترازو وزن بدن,
3042,体調,たいちょう,شرایط فیزیکی,
3043,体調不良です,たいちょうふりょうです,احساس خوبی ندارم,
3044,対,たい,در مقابل,
3045,対す,たいす,در برابر,
3046,対応,たいおう,"مکاتبات ، دسته",
3047,対応する,たいおうする,رسیدگی,
3048,対角成,たいかくせい,شکل مربع,
3049,対策,たいさく,اقدامات متقابل,
3050,対処能力,"たいしょ
のうりょく",توانایی مقابله,
3051,対象,たいしょう,مورد نظر,
3052,対象者,たいしょうしゃ,مخاطب هدف,
3053,対立する,たいりつする,تقابل دو چیز با هم,
3054,対話,たいわ,گفتگو,
3055,耐震,たいしん,مقاومت در برابر زلزله,
3056,帯,おび,باند,
3057,帯びる,おびる,به عهده گرفتن,
3058,待ち合わせ,まちあわせ,منتظر کسی بودن,
3059,待ち合わせます,まちあわせます,ملاقات کردن,
3060,待つ,まつ,منتظر ماندن,
3061,態度,たいど,نگرش,
3062,態度が冷淡,たいどがれいたん,نگرش سرد,
3063,滞在費支弁,たいざいひしべん,پرداخت هزینه های اقامت,
3064,貸し借りする,かしかり,بده بستون,
3065,貸付制度,かしつけせいど,سیستم وام,
3066,退化,たいか,تباهی / زوال,
3067,退学,たいがく,ترک تحصیل,
3068,退屈,たいくつ,بی حوصلگی,
3069,退屈な,たいくつな,خسته کننده,boring
3070,退室,たいしつ,ترک اتاق,
3071,退職,たいしょく,ترک شغل,quitting jobs
3072,代金,だいきん,قیمت ,
3073,代入,だいにゅう,جایگزین کردن,
3074,代表的,だいひょうてき,یک نماینده /نمونه,
3075,台所,だいどころ,آشپزخانه,
3076,台所合成洗剤,だいどころごうせいせんざい,مواد شوینده آشپزخانه,
3077,台風,たいふ,طوفان,
3078,台無し,だいなし,خراب کردن (رابطه,
3079,台湾,たいわん,تایوان,
3080,大きい,おおきい,بزرگ,
3081,大きな,おおきな,بزرگی,major
3082,大きなお世話,おおきなおせわ,به تو ربطی ندارد,
3083,大さじ,おおさじ,قاشق سوپ خوری,
3084,大して,たいして,.... زیادی,
3085,大まか,おおまか,تقریباً/تقریبی,
3086,大まかな,おおまかな,تقریبی,
3087,大雨,おおあめ,باران شدید,
3088,大家,おおや,صاحب خانه,
3089,大会,だいかい,مسابقه,
3090,大学の職員,だいがくのしょくいん,کارکنان دانشگاه,
3091,大学院,だいがくいん,تحصیلات تکمیلی,
3092,大学祭,だいがくさい,جشنواره دانشگاهی,
3093,大学入学専門コース,"だいがくにゅうがくせんもん
コース",دوره ورود به دانشگاه,
3094,大金,たいきん,پول زیادیه ,
3095,大型,おおがた,بزرگ,
3096,大戸屋 外苑前店,だいとやがいえんまえてん,فروشگاه Ootoya Gaienmae,
3097,大好き,だいすき,مورد علاقه,
3098,大黒柱,だいこくばしら,تکیه گاه,
3099,大事,だいじ,مهم,
3100,大事な,だいじな,مهم,
3101,大丈夫,だいじょうぶ,بدون مشکل,
3102,大臣,だいじん,وزیر,
3103,大人,おとな,بزرگسال,
3104,大人っぷく,おとなっぷく,شبیه بزرگسالان,
3105,大人気,だいにんき,بسیار محبوب,
3106,大勢の人,おおぜいのひと,جمعیت زیاد,
3107,大切,たいせつ,مهم,
3108,大統領,だいとうりょう,رئیس جمهور,president
3109,大波,おおなみ,موج بزرگ,huge waves
3110,大半,たいはん,اکثراً,
3111,大半の人,たいはんのひと,اکثر مردم,
